rnn_type,dropout,hidden_size,num_layers,bidirectional,Train Loss,Valid Loss,Valid Accuracy,Valid F1,Test Loss,Test Accuracy,Test F1
RNN,0.3,100,1,True,0.6528115948224397,0.6372478067712054,0.5971444261394838,0.2997238882855838,0.5445168148726225,0.7419724770642202,0.7285886610373944
GRU,0.3,200,2,False,0.5642154078467101,0.5978036935782172,0.642064799560681,0.4169466924754778,0.5258827054534446,0.7396788990825688,0.6961178045515395
LSTM,0.0,200,3,False,0.5435991855810315,0.5599065690092702,0.6903898956617244,0.578055243739072,0.5276011074046519,0.7396788990825688,0.6977363515312917
LSTM,0.0,200,3,True,0.5622793305442081,0.5588516228430258,0.6888522789676003,0.5748737796823067,0.520189659754661,0.7396788990825688,0.6886145404663924
GRU,0.3,200,3,True,0.5544384149499753,0.5651707021509363,0.686326194398682,0.5794075551077021,0.547111960297281,0.7396788990825688,0.7070967741935483
GRU,0.5,200,3,False,0.5544859032339764,0.5990630783344228,0.6773201537616694,0.5687873477499115,0.5321424145420844,0.7396788990825688,0.7048114434330299
LSTM,0.5,200,3,False,0.5437747572012211,0.5636989580558949,0.7020318506315213,0.5784215722792607,0.5633786298884925,0.7396788990825688,0.687757909215956
GRU,0.5,200,2,False,0.5662277436201474,0.6008167707203516,0.6390993959362987,0.4117567362050104,0.5123877135867422,0.7396788990825688,0.7009222661396575
GRU,0.0,200,3,True,0.5424259035131349,0.5545037395519311,0.6977484898407469,0.5904145467610065,0.5469207629900087,0.7396788990825688,0.7158948685857321
LSTM,0.5,100,2,True,0.6154628134817571,0.604452344351779,0.6422844590884129,0.4348926807758605,0.5076275803148746,0.7385321100917431,0.703896103896104
LSTM,0.3,100,2,False,0.581358971450186,0.5806247179544036,0.6593080724876442,0.5010405082543342,0.5543340726078234,0.7373853211009175,0.7119496855345913
LSTM,0.0,100,2,True,0.5853486576662635,0.590012766933832,0.6302031850631521,0.4033279131065862,0.5227638484740799,0.7362385321100917,0.6908602150537635
GRU,0.0,100,3,False,0.5627385873948374,0.6016774739724039,0.643492586490939,0.4318343484664673,0.5479606605896895,0.7350917431192661,0.6956521739130436
LSTM,0.0,100,1,True,0.6168594896244013,0.6374671983181454,0.6394288852278968,0.4246565482115064,0.5695594621144913,0.7339449541284404,0.737556561085973
LSTM,0.5,100,1,True,0.6168594896244013,0.6374671983181454,0.6394288852278968,0.4246565482115064,0.5695594621144913,0.7339449541284404,0.737556561085973
GRU,0.5,150,2,True,0.5971065371404595,0.5995447975283112,0.6406370126304228,0.4197557296809495,0.5210365244102749,0.7339449541284404,0.6890080428954424
LSTM,0.3,100,1,True,0.6168594896244013,0.6374671983181454,0.6394288852278968,0.4246565482115064,0.5695594621144913,0.7339449541284404,0.737556561085973
LSTM,0.3,100,3,True,0.5883942048945185,0.5867973163642518,0.6409665019220208,0.4289132734206514,0.5444925832985477,0.7327981651376146,0.6812585499316004
GRU,0.3,150,3,False,0.5646986829932384,0.6122094253698985,0.6780889621087315,0.5542239340266204,0.5563844297589227,0.7327981651376146,0.6946264744429881
GRU,0.0,150,2,True,0.5731615302474817,0.6206429039927128,0.6342668863261945,0.4034947559787152,0.5586074611849405,0.731651376146789,0.688
RNN,0.0,100,2,True,0.6291737250468697,0.6206330173165421,0.6337177375068643,0.4377505911119607,0.5686936151574958,0.731651376146789,0.7022900763358778
LSTM,0.3,150,2,False,0.5879985391544307,0.599540787226841,0.6392092257001647,0.4176455153668605,0.5252117790620435,0.7305045871559633,0.6903820816864296
GRU,0.0,150,3,False,0.5575979000137699,0.5902369728342431,0.6808347062053818,0.5684629333957846,0.5450047384100881,0.7305045871559633,0.6911957950065702
GRU,0.5,100,2,False,0.6432596739810732,0.6445066628804623,0.5875892366831411,0.2765627281168425,0.5788651982491667,0.7282110091743119,0.6757865937072505
LSTM,0.0,150,2,False,0.5810119589078262,0.5934228856381172,0.6325096101043383,0.409951940583961,0.5689318202943965,0.7282110091743119,0.6748971193415637
LSTM,0.0,150,3,False,0.5606033235651007,0.5881006862988564,0.6788577704557935,0.5470293767278133,0.5425983286378059,0.7282110091743119,0.670375521557719
GRU,0.0,100,3,True,0.5737901269290854,0.6027459931992442,0.6492037342119714,0.46220830737323,0.5673486747016961,0.7270642201834863,0.673972602739726
GRU,0.3,150,2,True,0.5892667495435283,0.6020962618413519,0.6362438220757826,0.4118311155133867,0.5373468658971515,0.7270642201834863,0.670360110803324
RNN,0.3,100,3,True,0.6870135816560912,0.6740505359211907,0.5437671609006041,0.1486241150787943,0.5847501429644498,0.7259174311926605,0.7393675027262814
GRU,0.0,100,1,False,0.669452845418508,0.6648988731246177,0.543547501372872,0.1349590206714346,0.5629080219024961,0.7259174311926605,0.6712517193947729
GRU,0.3,200,2,True,0.5603988868574942,0.6099896250689616,0.627677100494234,0.3901561696054175,0.5626402842727575,0.7259174311926605,0.6774628879892038
GRU,0.3,100,1,False,0.669452845418508,0.6648988731246177,0.543547501372872,0.1349590206714346,0.5629080219024961,0.7259174311926605,0.6712517193947729
GRU,0.5,100,1,False,0.669452845418508,0.6648988731246177,0.543547501372872,0.1349590206714346,0.5629080219024961,0.7259174311926605,0.6712517193947729
GRU,0.0,150,1,True,0.6244998768040662,0.6293839597555457,0.5969247666117519,0.2796731917858022,0.5309599553319541,0.7247706422018348,0.6739130434782609
GRU,0.3,150,1,True,0.6244998768040662,0.6293839597555457,0.5969247666117519,0.2796731917858022,0.5309599553319541,0.7247706422018348,0.6739130434782609
GRU,0.5,150,1,True,0.6244998768040662,0.6293839597555457,0.5969247666117519,0.2796731917858022,0.5309599553319541,0.7247706422018348,0.6739130434782609
LSTM,0.5,100,3,True,0.5926817308647842,0.6204140557983859,0.6253706754530478,0.4035034634310944,0.5962448600171641,0.7236238532110092,0.6600846262341327
LSTM,0.5,200,3,True,0.5648387841227966,0.5716115970917739,0.6839099395936298,0.5649119326669328,0.5565104206854646,0.7236238532110092,0.6542324246771879
RNN,0.5,100,2,False,0.6847473671908754,0.6743567539043115,0.5403624382207578,0.1406957482054113,0.5802112536674197,0.7236238532110092,0.7113772455089822
GRU,0.0,100,2,True,0.6277636323107003,0.6439023993868646,0.5914332784184515,0.2795813332518297,0.5554863780059598,0.7236238532110092,0.7006211180124223
LSTM,0.5,150,1,True,0.6066962888713257,0.6283813406046622,0.6343767160900604,0.422130636412403,0.57132950916209,0.7224770642201835,0.691326530612245
LSTM,0.3,150,1,True,0.6066962888713257,0.6283813406046622,0.6343767160900604,0.422130636412403,0.57132950916209,0.7224770642201835,0.691326530612245
LSTM,0.0,150,1,True,0.6066962888713257,0.6283813406046622,0.6343767160900604,0.422130636412403,0.57132950916209,0.7224770642201835,0.691326530612245
LSTM,0.3,200,3,True,0.5630941925647621,0.5898984285081671,0.6781987918725975,0.5409011059357155,0.5843305260535668,0.7213302752293578,0.6503597122302158
GRU,0.5,100,3,True,0.6215914515718337,0.6360354840592608,0.601317957166392,0.3248487593326017,0.5762339159846306,0.7213302752293578,0.6610878661087866
GRU,0.0,100,1,True,0.6494504986545457,0.6424055527061061,0.5900054914881933,0.2853671502544287,0.5612493636594578,0.7201834862385321,0.6763925729442971
LSTM,0.3,200,1,True,0.5836831950372265,0.5816247484071658,0.6427237781438769,0.4268241839502128,0.5165003014897759,0.7201834862385321,0.6737967914438502
LSTM,0.0,200,1,True,0.5836831950372265,0.5816247484071658,0.6427237781438769,0.4268241839502128,0.5165003014897759,0.7201834862385321,0.6737967914438502
