Broj procesora,Trajanje 7 zadataka (s),Trajanje 49 zadataka (s),Trajanje 343 zadataka (s),Ubrzanje 7 zadataka,Ubrzanje 49 zadataka,Ubrzanje 343 zadataka,Učinkovitost 7 zadataka,Učinkovitost 49 zadataka,Učinkovitost 343 zadataka
1,20.0,22.0,24.0,1.0,1.0,1.0,1.0,1.0,1.0
2,11.0,12.0,13.0,1.8181818181818181,1.8333333333333333,1.8461538461538463,0.9090909090909091,0.9166666666666666,0.9230769230769231
3,8.5,9.0,10.0,2.3529411764705883,2.4444444444444446,2.4,0.7843137254901961,0.8148148148148149,0.7999999999999999
4,7.0,7.5,8.0,2.857142857142857,2.933333333333333,3.0,0.7142857142857143,0.7333333333333333,0.75
5,5.8,6.0,7.0,3.4482758620689657,3.6666666666666665,3.4285714285714284,0.6896551724137931,0.7333333333333333,0.6857142857142857
6,5.0,5.5,6.0,4.0,4.0,4.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
7,4.5,4.5,5.0,4.444444444444445,4.888888888888889,4.8,0.634920634920635,0.6984126984126985,0.6857142857142857
8,4.0,4.0,4.8,5.0,5.5,5.0,0.625,0.6875,0.625
